Run,Model,Report_ID,Prompt_Type,Tokens_Per_Second,Total_Time_Seconds,Tokens_Generated,Prompt_Tokens,Eval_Duration_ns,Load_Duration_ns,Peak_CPU_Pct,Mean_CPU_Pct,Baseline_RAM_GB,Peak_RAM_GB,Model_Footprint_GB,Sample_Count,Timestamp
1,llama3.1:latest,INC-2024-047,Summarization,17.34,15.52,151,205,8708891334,3416431550,100.0,74.4,4.15,9.47,5.32,16,2026-05-13T17:36:24.201268
2,llama3.1:latest,INC-2024-047,Risk Classification,16.66,18.83,204,209,12246166705,3424027732,100.0,79.6,4.29,9.48,5.19,19,2026-05-13T17:36:45.213428
3,llama3.1:latest,INC-2024-047,Corrective Action Extraction,16.13,12.44,96,207,5950545416,3413723359,100.0,68.8,4.23,9.44,5.21,13,2026-05-13T17:37:00.222901
4,llama3.1:latest,INC-2024-047,Root Cause Identification,16.58,21.24,243,207,14654928935,3433084060,100.0,79.3,4.23,9.44,5.21,22,2026-05-13T17:37:24.237878
5,llama3.1:latest,INC-2024-051,Summarization,17.74,13.27,109,260,6142681700,3423426299,100.0,69.6,4.25,9.46,5.21,14,2026-05-13T17:37:40.249661
6,llama3.1:latest,INC-2024-051,Risk Classification,17.24,22.02,252,264,14619965197,3417379895,100.0,82.8,4.26,9.5,5.24,22,2026-05-13T17:38:04.269765
7,llama3.1:latest,INC-2024-051,Corrective Action Extraction,18.1,11.87,78,262,4310154853,3425911359,100.0,70.0,4.28,9.48,5.2,12,2026-05-13T17:38:18.281019
8,llama3.1:latest,INC-2024-051,Root Cause Identification,15.57,29.44,339,262,21768275118,3418081247,100.0,85.1,4.25,9.48,5.23,30,2026-05-13T17:38:50.300692
9,llama3.1:latest,INC-2024-058,Summarization,17.89,13.11,98,287,5477587777,3413457261,100.0,68.6,4.25,9.47,5.22,14,2026-05-13T17:39:06.310353
10,llama3.1:latest,INC-2024-058,Risk Classification,17.16,26.01,308,291,17943556292,3418422523,100.0,85.1,4.28,9.49,5.2,26,2026-05-13T17:39:34.328049
11,llama3.1:latest,INC-2024-058,Corrective Action Extraction,17.69,11.78,69,289,3899459941,3421104847,100.0,69.4,4.27,9.49,5.22,12,2026-05-13T17:39:48.338501
12,llama3.1:latest,INC-2024-058,Root Cause Identification,15.68,27.01,298,289,19005644291,3411131844,100.0,85.7,4.24,9.48,5.24,27,2026-05-13T17:40:17.358874
13,llama3.1:latest,INC-2025-003,Summarization,17.01,14.45,120,271,7053621045,3424066805,100.0,72.8,4.25,9.47,5.22,15,2026-05-13T17:40:34.369432
